Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
1795568,CUSHION,0.7001953,VS2,G,GD,EX,GD,F,2441.63,4.9101562,4.6992188,3.3203125
1777325,CUSHION,0.72021484,VS2,H,EX,EX,EX,N,2442.08,5.1992188,4.9414062,3.3105469
1557370,CUSHION,0.89990234,SI2,G,EX,EX,VG,N,2443.8,5.5195312,5.3515625,3.6308594
210365-472,CUSHION,1.2597656,SI1,FANCY,EX,EX,VG,F,2444.16,6.0117188,5.8984375,3.9394531
1628251,CUSHION,0.7001953,SI1,E,EX,EX,EX,N,2455.49,5.1210938,4.9101562,3.2890625
1631316,CUSHION,0.8198242,VS2,I,EX,EX,VG,N,2456.91,5.3710938,5.1914062,3.5097656
201001-136,CUSHION,1.5996094,SI2,FANCY,EX,VG,GD,N,2459.12,6.5,6.2617188,4.2304688
210646-1,CUSHION,1.5595703,SI1,Y-Z,EX,EX,VG,N,2460.87,6.8789062,6.0390625,4.2109375
210439-234,CUSHION,1.2900391,SI1,FANCY,EX,EX,VG,F,2461.08,5.9296875,5.8984375,3.9707031
1584362,CUSHION,0.89990234,SI2,I,GD,VG,VG,N,2462.49,5.75,5.03125,3.609375
210194-89,CUSHION,1.5,VS2,FANCY,EX,EX,VG,N,2464.8,6.3710938,6.359375,4.1484375
1616429,CUSHION,0.7998047,VVS1,I,EX,EX,VG,N,2467.91,5.2890625,5.1796875,3.5195312
200683-142,CUSHION,1.0097656,SI2,H,EX,VG,VG,VSL,2470.41,6.3984375,5.5117188,3.6699219
1794016,CUSHION,0.89990234,VS1,J,VG,EX,EX,N,3280.0,5.359375,5.28125,3.6894531
201156-535,CUSHION,1.7099609,SI1,W-X,EX,EX,VG,N,3280.34,6.9609375,6.4414062,4.3789062
1593516,CUSHION,0.7998047,VS2,E,EX,EX,VG,N,3286.48,5.1601562,5.1484375,3.4902344
211190-189,CUSHION,1.2099609,SI2,H,EX,EX,EX,N,3288.14,6.25,5.7890625,3.9199219
1672965,CUSHION,0.5800781,SI1,FANCY,VG,GD,GD,F,3296.1,4.9804688,4.578125,2.9492188
200764-709,CUSHION,1.2001953,SI2,J,EX,VG,EX,N,3301.06,6.46875,5.5507812,3.7792969
213115-57,CUSHION,0.95996094,SI2,F,EX,EX,VG,F,3302.45,6.109375,5.2109375,3.5507812
200760-30,CUSHION,1.0097656,SI2,E,EX,VG,VG,N,3303.52,5.7382812,5.578125,3.7792969
202214-77,CUSHION,1.0097656,SI2,F,EX,EX,EX,N,3304.58,5.8085938,5.5,3.7304688
213121-108,CUSHION,1.0097656,SI1,J,EX,VG,VG,N,3305.75,6.3007812,5.3203125,3.5390625
1771058,CUSHION,0.8598633,VS2,G,EX,EX,VG,F,3310.73,6.1289062,4.921875,3.3398438
1766794,CUSHION,0.89990234,VS2,I,EX,EX,VG,F,3311.66,5.3789062,5.359375,3.6503906
1706329,CUSHION,0.89990234,SI1,E,EX,EX,VG,N,3321.39,5.46875,5.4414062,3.6699219
210031-483,CUSHION,1.0195312,VVS2,FANCY,EX,EX,VG,N,3325.5,5.71875,5.5390625,3.6894531
1639535,CUSHION,0.89990234,SI1,G,EX,EX,EX,N,3327.44,5.5,5.3085938,3.609375
1650980,CUSHION,0.89990234,VVS2,J,EX,EX,VG,N,2736.16,5.390625,5.3203125,3.609375
1606761,CUSHION,0.8100586,VS2,E,EX,EX,VG,ST,2736.71,5.7304688,4.9882812,3.3496094
1642239,CUSHION,0.8300781,SI1,D,EX,EX,VG,M,2737.06,5.4296875,5.3007812,3.5605469
1771053,CUSHION,0.89990234,SI2,I,VG,EX,VG,N,2739.74,5.8710938,5.1210938,3.5390625
1790969,CUSHION,0.7998047,SI1,E,VG,EX,VG,F,2743.65,5.359375,4.9804688,3.4804688
1639545,CUSHION,0.8100586,SI1,F,EX,EX,VG,N,2746.64,5.78125,5.0195312,3.3105469
211157-332,CUSHION,1.2900391,SI1,U-V,EX,EX,VG,N,2748.27,6.0,5.9882812,4.1210938
1652679,CUSHION,0.7998047,VS2,E,VG,EX,VG,M,2749.8,5.96875,4.8085938,3.3496094
1601271,CUSHION,0.9199219,SI1,FANCY,EX,EX,VG,F,2752.5,5.3203125,5.2109375,3.5390625
1645978,CUSHION,0.89990234,SI2,G,EX,EX,VG,N,2757.79,5.7304688,5.28125,3.5507812
1783703,CUSHION,0.9199219,SI1,J,EX,EX,VG,N,2758.82,6.03125,5.1992188,3.5390625
1608395,CUSHION,0.7998047,VS2,G,EX,EX,VG,F,2762.35,5.6484375,4.921875,3.3398438
211003-777,CUSHION,1.0498047,VS1,L,EX,EX,VG,F,2762.63,6.4804688,5.390625,3.640625
1669445,CUSHION,0.89990234,VS1,J,VG,EX,VG,F,2762.91,5.8085938,5.140625,3.5800781
1773462,CUSHION,0.7998047,SI1,G,VG,EX,VG,F,2765.11,5.1796875,5.1210938,3.5898438
211157-73,CUSHION,1.25,VS1,Q-R,EX,EX,EX,N,3180.94,6.0195312,5.9882812,4.0507812
1772501,CUSHION,0.7998047,SI1,D,EX,EX,VG,N,3182.68,5.7304688,4.9804688,3.390625
1638104,CUSHION,0.7998047,VS2,E,VG,EX,VG,N,3184.13,5.4609375,4.9882812,3.4609375
210282-18,CUSHION,1.0097656,SI1,J,VG,EX,EX,N,3185.7,5.609375,5.5507812,3.8398438
1667129,CUSHION,0.89990234,VS2,I,VG,EX,GD,N,3187.67,5.4492188,5.3984375,3.6894531
1672854,CUSHION,0.85009766,SI1,F,EX,VG,EX,N,3188.48,5.640625,5.1796875,3.4707031
1765465,CUSHION,0.89990234,VS1,I,VG,EX,VG,N,3188.52,5.421875,5.2382812,3.6601562
1657705,CUSHION,0.7998047,VVS2,H,EX,EX,EX,N,3188.69,5.2617188,5.078125,3.4492188
211003-1081,CUSHION,1.0195312,SI2,H,EX,EX,EX,N,3193.78,5.71875,5.6289062,3.75
1643508,CUSHION,0.8100586,SI1,E,EX,EX,VG,N,3195.9,5.8085938,5.0390625,3.359375
202225-1089,CUSHION,1.0195312,SI2,FANCY,EX,EX,EX,F,3196.62,5.6015625,5.578125,3.7792969
201160-100,CUSHION,1.5800781,VS1,FANCY,EX,EX,VG,F,3198.96,6.46875,6.46875,4.3789062
210438-100,CUSHION,1.5,SI2,W-X,EX,EX,VG,N,3199.56,6.3085938,6.0585938,4.1601562
1593519,CUSHION,0.8198242,VS1,E,EX,EX,VG,N,3202.85,5.4882812,5.109375,3.4492188
1640839,CUSHION,0.89990234,SI1,H,EX,EX,GD,N,3203.4,5.8515625,5.1015625,3.4707031
1747872,CUSHION,0.89990234,SI1,F,EX,EX,VG,N,3522.03,5.5507812,5.3007812,3.5996094
201156-423,CUSHION,1.0097656,SI1,I,EX,EX,EX,N,3522.97,5.9492188,5.6015625,3.5996094
1794018,CUSHION,0.91015625,VS2,G,GD,EX,VG,F,3523.3,5.2382812,5.0585938,4.0117188
210530-586,CUSHION,1.0,VVS2,J,GD,EX,VG,F,3526.33,5.6992188,5.0390625,3.9707031
1791713,CUSHION,0.7998047,IF,H,EX,EX,EX,N,3534.21,5.5117188,5.0898438,3.4492188
1667132,CUSHION,0.89990234,SI2,G,EX,EX,VG,N,3535.96,5.640625,5.4882812,3.5703125
200496-137,CUSHION,1.5195312,SI2,K,EX,EX,EX,N,3536.54,7.0507812,6.4414062,3.890625
1752868,CUSHION,0.89990234,VS2,H,VG,EX,EX,N,3536.97,5.421875,5.2382812,3.6601562
212073-187,CUSHION,1.0097656,SI2,H,EX,EX,VG,N,3537.12,6.1796875,5.359375,3.640625
200683-60,CUSHION,1.2197266,SI2,H,EX,EX,VG,N,3539.38,5.96875,5.9414062,4.0
203227-227,CUSHION,0.95996094,VS1,H,VG,EX,VG,ST,3539.54,5.4882812,5.3789062,3.7597656
211177-311,CUSHION,1.0,SI1,I,GD,VG,VG,N,3546.24,5.8007812,5.1289062,3.6894531
200576-982,CUSHION,1.0097656,SI2,FANCY,GD,EX,GD,F,3546.35,5.6210938,5.25,3.7695312
200491-593,CUSHION,1.0,SI1,D,EX,EX,VG,VS,3546.45,6.2695312,5.4101562,3.6191406
210266-149,CUSHION,1.0195312,SI2,E,EX,EX,VG,M,3550.5,5.8984375,5.5703125,3.7402344
1654407,CUSHION,0.7001953,VVS1,FANCY,EX,EX,VG,N,2983.04,4.9609375,4.8203125,3.2597656
1664484,CUSHION,0.89990234,SI1,I,EX,EX,VG,N,2983.77,5.9492188,5.171875,3.4902344
200793-1039,CUSHION,1.0097656,SI2,H,EX,EX,VG,N,2987.38,6.3789062,5.2382812,3.5605469
200753-18,CUSHION,1.0,SI2,H,EX,EX,EX,N,2987.55,6.1210938,5.3085938,3.5996094
1778453,CUSHION,0.7001953,VS2,F,EX,EX,VG,N,2989.34,5.6210938,4.671875,3.140625
211003-1098,CUSHION,1.0898438,SI1,J,EX,EX,EX,ST,2991.07,6.4296875,5.4492188,3.6992188
1548293,CUSHION,0.8100586,VS2,F,EX,EX,EX,N,2991.83,5.5117188,5.1210938,3.4609375
210041-485,CUSHION,1.0195312,SI2,FANCY,EX,EX,VG,N,2993.13,6.1484375,5.2617188,3.4707031
201250-276,CUSHION,1.0195312,VVS2,L,EX,EX,EX,F,2993.33,6.2617188,5.4296875,3.6601562
1742973,CUSHION,0.89990234,SI1,I,EX,EX,VG,N,2998.6,5.9414062,5.1484375,3.4902344
200793-105,CUSHION,1.0097656,SI2,I,VG,EX,VG,N,3000.9,6.03125,5.25,3.6601562
200793-1325,CUSHION,1.0097656,SI2,G,EX,VG,VG,N,3001.29,6.328125,5.3710938,3.5800781
1790057,CUSHION,0.8198242,VS2,FANCY,EX,EX,VG,M,3001.51,5.109375,5.0390625,3.4707031
211105-342,CUSHION,1.0,VS1,K,VG,EX,VG,N,3005.08,5.7695312,5.390625,3.75
1773442,CUSHION,0.91015625,VVS2,J,EX,EX,EX,F,3005.11,5.7109375,5.2304688,3.5292969
1548291,CUSHION,0.8100586,VS2,H,EX,EX,EX,N,2591.06,5.3085938,5.1796875,3.5097656
1788940,CUSHION,0.7998047,SI2,E,EX,EX,EX,N,2594.54,5.3085938,5.140625,3.4804688
200772-234,CUSHION,1.0898438,SI2,H,EX,EX,VG,SL,2596.11,6.171875,5.609375,3.8105469
1761465,CUSHION,0.89990234,SI2,I,VG,EX,VG,N,2596.69,5.3085938,5.3007812,3.6796875
210344-112,CUSHION,1.0,SI2,K,EX,EX,VG,N,2596.85,6.3789062,5.2617188,3.5703125
1738040,CUSHION,0.75,SI1,D,EX,EX,GD,N,2597.07,5.390625,5.0,3.390625
1622480,CUSHION,0.7998047,VVS1,I,EX,EX,EX,N,2597.79,5.2695312,5.1992188,3.5
1762706,CUSHION,0.7998047,SI1,H,EX,EX,VG,N,2598.73,5.8203125,5.0507812,3.3691406
1671477,CUSHION,0.7001953,SI1,D,EX,EX,VG,F,2600.76,5.28125,4.828125,3.2402344
1631319,CUSHION,0.8198242,SI1,G,EX,EX,VG,F,2602.91,5.578125,5.0703125,3.4296875
1657703,CUSHION,0.89990234,SI1,J,VG,EX,VG,N,2603.86,6.109375,4.9296875,3.4296875
213003-785,CUSHION,1.0,SI1,J,VG,EX,VG,ST,2605.37,5.8710938,5.3710938,3.7304688
1628222,CUSHION,0.9199219,SI1,J,EX,EX,EX,N,2606.31,5.6210938,5.3398438,3.6191406
201202-583,CUSHION,1.0195312,SI2,I,EX,EX,VG,M,2606.53,6.0898438,5.5507812,3.7597656
1798195,CUSHION,0.7001953,VS2,F,GD,EX,GD,N,2611.73,5.0195312,4.609375,3.6503906
1593517,CUSHION,0.7998047,VS2,E,EX,EX,VG,N,3122.16,6.0117188,4.8515625,3.2890625
1636029,CUSHION,0.7998047,VS2,E,EX,EX,VG,N,3126.03,5.7109375,4.9414062,3.3398438
1777324,CUSHION,0.7001953,VS2,E,EX,EX,VG,N,3127.87,5.8710938,4.6992188,3.1191406
201209-1020,CUSHION,1.2001953,SI2,I,VG,EX,VG,F,3129.89,6.359375,5.609375,3.9199219
1790053,CUSHION,0.8598633,VVS1,FANCY,EX,EX,VG,F,3131.43,5.1289062,5.1015625,3.5507812
1784935,CUSHION,0.75,VS2,G,EX,EX,EX,F,3133.09,5.2695312,5.0117188,3.390625
1624930,CUSHION,0.7998047,VS2,G,EX,EX,EX,N,3135.82,5.3085938,5.1210938,3.4804688
1781755,CUSHION,0.8701172,VS2,FANCY,EX,EX,VG,M,3135.98,5.4296875,5.109375,3.5292969
200797-27,CUSHION,0.95996094,SI2,I,EX,VG,VG,N,3136.03,5.8203125,5.7109375,3.8398438
210052-414,CUSHION,1.0,SI2,H,EX,EX,VG,N,3137.67,5.7617188,5.5195312,3.7402344
1660168,CUSHION,0.75,VVS2,E,EX,EX,VG,M,3138.17,5.0898438,5.0507812,3.4199219
1790066,CUSHION,0.6899414,VS2,FANCY,EX,EX,GD,N,3140.14,4.8203125,4.671875,3.2304688
1794034,CUSHION,0.7001953,VS1,G,EX,EX,EX,N,3143.13,5.6015625,4.6484375,3.1503906
200715-274,CUSHION,1.0595703,SI2,FANCY,EX,EX,VG,F,3143.29,6.1914062,5.609375,3.6992188
210001-1078,CUSHION,1.0,IF,L,EX,EX,EX,N,3144.12,5.6484375,5.46875,3.7207031
