Shape_CUSHION,Shape_EMERALD,Shape_HEART,Shape_MARQUISE,Shape_OVAL,Shape_PEAR,Shape_PRINCESS,Shape_ROUND,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Price,Length,Width,Depth
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,4.0,19.0,3.0,3.0,2.0,0.0,1358.98,5.0117188,4.1210938,2.7890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,12.0,3.0,3.0,2.0,0.0,1361.35,4.9296875,4.2617188,2.8691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0,16.0,3.0,3.0,1.0,0.0,1363.32,4.6210938,4.4609375,2.9707031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,5.0,19.0,3.0,1.0,1.0,0.0,1364.27,4.75,4.28125,2.9003906
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,14.0,3.0,3.0,2.0,0.0,1365.18,4.96875,4.2382812,2.8691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52978516,6.0,13.0,3.0,3.0,2.0,0.0,1365.72,4.7109375,4.5117188,3.0390625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,14.0,3.0,2.0,2.0,2.0,1366.08,4.609375,4.4296875,2.9492188
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,6.0,13.0,3.0,3.0,3.0,1.0,1373.97,4.6289062,4.4296875,2.9707031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,15.0,3.0,2.0,2.0,0.0,1374.14,5.03125,4.171875,2.8300781
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,15.0,3.0,3.0,2.0,0.0,1374.14,5.0585938,4.2304688,2.8398438
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,9.0,13.0,3.0,3.0,2.0,0.0,1374.36,5.078125,4.3085938,2.8691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,13.0,3.0,3.0,2.0,0.0,1377.17,4.5195312,4.3515625,2.9296875
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,13.0,3.0,3.0,3.0,2.0,1377.4,4.6992188,4.2695312,2.9003906
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,15.0,2.0,3.0,1.0,0.0,1378.21,4.4296875,4.3984375,3.0703125
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,4.0,17.0,3.0,3.0,3.0,2.0,1607.14,4.8203125,4.421875,2.890625
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,5.0,14.0,3.0,3.0,2.0,2.0,1607.14,4.6210938,4.4804688,3.0097656
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,15.0,3.0,2.0,2.0,0.0,1607.19,4.578125,4.390625,2.9609375
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7998047,7.0,11.0,2.0,2.0,2.0,0.0,1607.28,5.25,5.078125,3.5195312
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,5.0,17.0,3.0,3.0,3.0,2.0,1607.9,4.9609375,4.3085938,2.8300781
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0195312,3.0,10.0,3.0,3.0,3.0,1.0,1609.43,6.2695312,5.4296875,3.6308594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,15.0,3.0,3.0,2.0,0.0,1609.73,4.5898438,4.3789062,2.9707031
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.0,16.0,3.0,2.0,2.0,0.0,1610.67,4.859375,4.21875,2.8496094
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89990234,5.0,19.0,3.0,3.0,2.0,0.0,1611.08,6.0390625,5.0898438,3.4199219
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5600586,3.0,19.0,3.0,3.0,1.0,2.0,1611.85,4.5585938,4.46875,3.1191406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001953,6.0,11.0,2.0,3.0,1.0,0.0,1612.09,4.921875,4.828125,3.3691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597656,6.0,11.0,3.0,3.0,2.0,0.0,1612.64,5.3515625,5.0117188,3.3808594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,17.0,3.0,3.0,1.0,0.0,1613.14,4.921875,4.25,2.8203125
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6298828,8.0,19.0,3.0,3.0,2.0,1.0,1615.89,5.1601562,4.8984375,3.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52978516,8.0,14.0,3.0,3.0,3.0,2.0,1616.37,4.671875,4.53125,3.0507812
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,5.0,14.0,3.0,3.0,2.0,0.0,1335.2,4.859375,4.21875,2.8691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,14.0,3.0,3.0,1.0,0.0,1339.21,4.53125,4.46875,2.9804688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72021484,3.0,14.0,3.0,3.0,2.0,0.0,1339.21,5.5507812,4.7890625,3.25
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,4.0,14.0,3.0,3.0,3.0,0.0,1339.58,4.7382812,4.3203125,2.9394531
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,14.0,3.0,2.0,2.0,4.0,1341.05,4.8710938,4.171875,2.8300781
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48999023,5.0,16.0,2.0,3.0,1.0,0.0,1345.05,4.640625,4.421875,3.0195312
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,4.0,14.0,3.0,3.0,2.0,0.0,1349.01,5.1992188,4.171875,2.7304688
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,5.0,1.0,3.0,3.0,2.0,0.0,1349.47,5.2890625,4.8515625,3.3007812
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52001953,8.0,12.0,3.0,3.0,2.0,0.0,1349.52,5.078125,4.25,2.8808594
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7001953,8.0,1.0,2.0,3.0,2.0,0.0,1350.65,4.7382812,4.6992188,3.3691406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,8.0,13.0,3.0,3.0,2.0,0.0,1352.82,4.7304688,4.3203125,2.9199219
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097656,5.0,14.0,3.0,3.0,2.0,2.0,1352.98,4.78125,4.3710938,2.9394531
